瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-01-01 01:00,-4.2,2,,-1.3
156,堡林,2022-01-01 02:00,-4.3,1.6,,-1.4
156,堡林,2022-01-01 03:00,-4.1,2.9,,-1.3
156,堡林,2022-01-01 04:00,-4,3.2,,-1.4
156,堡林,2022-01-01 05:00,-4.7,1.6,,-1.8
156,堡林,2022-01-01 06:00,-4.6,2.9,,-2.1
156,堡林,2022-01-01 07:00,-5.1,1.7,,-2.4
156,堡林,2022-01-01 08:00,-5,.5,.07,-2.6
156,堡林,2022-01-01 09:00,-3.6,1.2,.44,-2.2
156,堡林,2022-01-01 10:00,-2.6,.9,.99,-1.2
156,堡林,2022-01-01 11:00,-.8,1,1.06,-.3
156,堡林,2022-01-01 12:00,1.5,2.3,1.98,.5
156,堡林,2022-01-01 13:00,3.2,1.7,2.18,1.8
156,堡林,2022-01-01 14:00,4.9,.8,2,3.5
156,堡林,2022-01-01 15:00,5,.9,1.43,4.4
156,堡林,2022-01-01 16:00,5,.9,1.18,4.7
156,堡林,2022-01-01 17:00,4.4,1.3,.48,2.4
156,堡林,2022-01-01 18:00,3.7,.8,.1,1.1
156,堡林,2022-01-01 19:00,2.8,.1,,.8
156,堡林,2022-01-01 20:00,2.2,.8,,.6
156,堡林,2022-01-01 21:00,1.5,.5,,.5
156,堡林,2022-01-01 22:00,1,0,,.3
156,堡林,2022-01-01 23:00,0,.7,,0
156,堡林,2022-01-02 00:00,-.4,.2,,-.3
156,堡林,2022-01-02 01:00,-.8,.4,,-.5
156,堡林,2022-01-02 02:00,-1.5,.3,,-.9
156,堡林,2022-01-02 03:00,-2.3,0,,-1.1
156,堡林,2022-01-02 04:00,-2.6,0,,-1.4
156,堡林,2022-01-02 05:00,-2.2,.4,,-1.6
156,堡林,2022-01-02 06:00,-3.1,.4,,-1.7
156,堡林,2022-01-02 07:00,-3.2,.1,,-1.1
156,堡林,2022-01-02 08:00,-2.5,.2,.06,-1
156,堡林,2022-01-02 09:00,-1.6,.2,.25,-.5
156,堡林,2022-01-02 10:00,-.3,.8,.5,-.1
156,堡林,2022-01-02 11:00,1,.5,.99,.1
156,堡林,2022-01-02 12:00,2.2,.4,.76,.8
156,堡林,2022-01-02 13:00,4.3,.3,1.36,2.1
156,堡林,2022-01-02 14:00,5.7,.9,1.06,4.9
156,堡林,2022-01-02 15:00,6.5,1.2,.9,6.1
156,堡林,2022-01-02 16:00,5.9,2.3,1.03,5.8
156,堡林,2022-01-02 17:00,4.7,1.2,.43,3
156,堡林,2022-01-02 18:00,3.5,1,.09,1
156,堡林,2022-01-02 19:00,1.8,.5,,.8
156,堡林,2022-01-02 20:00,2.1,1.1,,.5
156,堡林,2022-01-02 21:00,.9,1.1,,.1
156,堡林,2022-01-02 22:00,.1,1.3,,-.2
156,堡林,2022-01-02 23:00,-.2,.1,,-.7
156,堡林,2022-01-03 00:00,-.7,0,,-.9
156,堡林,2022-01-03 01:00,-1.9,1.5,,-1.2
156,堡林,2022-01-03 02:00,-1.8,.4,,-1.6
156,堡林,2022-01-03 03:00,-2.9,1.1,,-1.9
156,堡林,2022-01-03 04:00,-3.2,.2,,-2.2
156,堡林,2022-01-03 05:00,-3.7,0,,-2.5
156,堡林,2022-01-03 06:00,-3.9,0,,-2.8
156,堡林,2022-01-03 07:00,-3.8,.1,,-3.1
156,堡林,2022-01-03 08:00,-4.2,.3,.07,-3.3
156,堡林,2022-01-03 09:00,-3.3,1,.6,-2.7
156,堡林,2022-01-03 10:00,-1.3,.8,1.38,-1.3
156,堡林,2022-01-03 11:00,1,.6,1.79,-.1
156,堡林,2022-01-03 12:00,3.2,1.1,1.99,.8
156,堡林,2022-01-03 13:00,5.4,1.7,2.11,2.6
156,堡林,2022-01-03 14:00,6.2,.9,1.94,4.7
156,堡林,2022-01-03 15:00,6.3,1.2,1.61,5.6
156,堡林,2022-01-03 16:00,5.9,1.2,1.1,4.8
156,堡林,2022-01-03 17:00,4.9,1,.5,2.4
156,堡林,2022-01-03 18:00,3.3,1.8,.09,1.1
156,堡林,2022-01-03 19:00,2,1.4,,.7
156,堡林,2022-01-03 20:00,1.2,1,,.3
156,堡林,2022-01-03 21:00,1.1,.2,,0
156,堡林,2022-01-03 22:00,.7,.4,,-.2
156,堡林,2022-01-03 23:00,.3,.1,,-.4
156,堡林,2022-01-04 00:00,-.3,.6,,-.7
156,堡林,2022-01-04 01:00,-1,1.2,,-.5
156,堡林,2022-01-04 02:00,-1,1.3,,-.5
156,堡林,2022-01-04 03:00,-.4,0,,-.4
156,堡林,2022-01-04 04:00,0,.1,,-.2
156,堡林,2022-01-04 05:00,.1,.1,,-.1
156,堡林,2022-01-04 06:00,.5,.1,,-.2
156,堡林,2022-01-04 07:00,.1,.9,,-.2
156,堡林,2022-01-04 08:00,-.5,0,.07,-.7
156,堡林,2022-01-04 09:00,.7,1.1,.32,-.3
156,堡林,2022-01-04 10:00,3.2,.3,.85,-.1
156,堡林,2022-01-04 11:00,4.2,1,1.41,.3
156,堡林,2022-01-04 12:00,5.5,3.1,1.89,2.2
156,堡林,2022-01-04 13:00,6.1,1.3,2.11,5.9
156,堡林,2022-01-04 14:00,6.3,2,2.07,7.9
156,堡林,2022-01-04 15:00,6.6,1.2,1.73,8.2
156,堡林,2022-01-04 16:00,6,1.3,1.2,6.2
156,堡林,2022-01-04 17:00,4.9,1.6,.59,3.2
156,堡林,2022-01-04 18:00,3,2.4,.1,1
156,堡林,2022-01-04 19:00,1.8,1.4,,.9
156,堡林,2022-01-04 20:00,.7,.9,,.7
156,堡林,2022-01-04 21:00,.4,1.1,,.5
156,堡林,2022-01-04 22:00,.3,.8,,.4
156,堡林,2022-01-04 23:00,0,1.8,,.2
156,堡林,2022-01-05 00:00,-.1,1.7,,.1
156,堡林,2022-01-05 01:00,-.5,2.4,,.1
156,堡林,2022-01-05 02:00,-.5,2.9,,0
156,堡林,2022-01-05 03:00,-.6,1.7,,-.1
156,堡林,2022-01-05 04:00,-.5,1.9,,-.1
156,堡林,2022-01-05 05:00,-.4,1,,-.1
156,堡林,2022-01-05 06:00,-.3,1.3,,-.1
156,堡林,2022-01-05 07:00,-.3,1.1,,-.1
156,堡林,2022-01-05 08:00,-.4,1.8,.07,-.1
156,堡林,2022-01-05 09:00,.1,.6,.14,0
156,堡林,2022-01-05 10:00,.8,1.1,.27,.1
156,堡林,2022-01-05 11:00,1.7,.5,.55,.3
156,堡林,2022-01-05 12:00,2.7,1,1.02,2.5
156,堡林,2022-01-05 13:00,4.1,1.2,.97,5.2
156,堡林,2022-01-05 14:00,4.4,.6,.64,5.3
156,堡林,2022-01-05 15:00,4.5,1.1,.41,4.9
156,堡林,2022-01-05 16:00,4.6,.1,.24,4.3
156,堡林,2022-01-05 17:00,4.4,.2,.15,3.7
156,堡林,2022-01-05 18:00,4.3,0,.07,3
156,堡林,2022-01-05 19:00,4.5,.8,,2.6
156,堡林,2022-01-05 20:00,4.4,.4,,2.4
156,堡林,2022-01-05 21:00,3.9,.5,,2.2
156,堡林,2022-01-05 22:00,3.6,.9,,2.2
156,堡林,2022-01-05 23:00,3.6,.7,,2.1
156,堡林,2022-01-06 00:00,3,.1,,2
156,堡林,2022-01-06 01:00,2.5,.6,,1.9
156,堡林,2022-01-06 02:00,2.4,.3,,1.8
156,堡林,2022-01-06 03:00,2.9,1.1,,1.4
156,堡林,2022-01-06 04:00,1.7,.7,,.8
156,堡林,2022-01-06 05:00,1.2,.1,,.7
156,堡林,2022-01-06 06:00,.2,1.9,,.1
156,堡林,2022-01-06 07:00,-.3,.6,,-.3
156,堡林,2022-01-06 08:00,-.1,.5,.06,-.5
156,堡林,2022-01-06 09:00,.9,.1,.41,-.5
156,堡林,2022-01-06 10:00,2.5,1.8,1.03,-.1
156,堡林,2022-01-06 11:00,4,1.2,1.59,.4
156,堡林,2022-01-06 12:00,5.1,1.6,1.96,3.8
156,堡林,2022-01-06 13:00,6.2,2.7,2.14,7.1
156,堡林,2022-01-06 14:00,6.5,2.6,2.06,8.7
156,堡林,2022-01-06 15:00,6.3,1.9,1.78,8.8
156,堡林,2022-01-06 16:00,5.9,2.2,1.24,7.1
156,堡林,2022-01-06 17:00,5.1,1.3,.6,4
156,堡林,2022-01-06 18:00,3.4,1.5,.11,1.6
156,堡林,2022-01-06 19:00,2.2,1,,1
156,堡林,2022-01-06 20:00,1.1,.9,,.4
156,堡林,2022-01-06 21:00,.7,1.4,,0
156,堡林,2022-01-06 22:00,.1,1.7,,-.3
156,堡林,2022-01-06 23:00,-.4,2,,-.7
156,堡林,2022-01-07 00:00,-.4,1,,-.9
